cod_dis,nom_dis,dat_inc,tipo,crg_hor_semanal,carga,inativa
28,Laboratório de Banco de Dados (Escolha I),1974-08-21,Obrigatoria,4,80,ativa
29,Redes de Computadores,1974-08-21,Obrigatoria,4,80,ativa
30,Segurança da Informação,1974-08-21,Obrigatoria,2,40,ativa
31,Sistemas Distribuídos (Escolha I),1974-08-21,Obrigatoria,4,80,ativa
32,Sociedade e Tecnologia ,1974-08-21,Obrigatoria,2,40,ativa
33,Auditoria de Sistemas (Escolha II),1974-08-21,Obrigatoria,4,80,ativa
34,Empreendedorismo,1974-08-21,Obrigatoria,2,40,ativa
35,Gestão de Equipes,1974-08-21,Obrigatoria,2,40,ativa
36,Gestão de Projetos,1974-08-21,Obrigatoria,4,80,ativa
37,Laboratório de Engenharia de Software,1974-08-21,Obrigatoria,4,80,ativa
38,Laboratório de Redes (Escolha II),1974-08-21,Obrigatoria,4,80,ativa
39,Metodologia de Pesquisa Científco-Tecnológica,1974-08-21,Obrigatoria,2,40,ativa
40,Ética e Responsabilidade Profissional,1974-08-21,Obrigatoria,2,40,ativa
41,Gestão e Governança de Tecnologia da Informação,1974-08-21,Obrigatoria,4,80,ativa
42,Inteligência Artificial (Escolha III),1974-08-21,Obrigatoria,4,80,ativa
43,Projeto de Redes de Computadores (Escolha III),1974-08-21,Obrigatoria,4,80,ativa
44,Seminários em Informática,1974-08-21,Obrigatoria,2,40,ativa
45,Sistemas Operacionais de Redes de Computadores (Escolha IV) ,1974-08-21,Obrigatoria,4,80,ativa
46,Tópicos Especiais em Informática (Escolha IV),1974-08-21,Obrigatoria,4,80,ativa
47,Trabalho de Conclusão de Curso,1974-08-21,Obrigatoria,8,160,ativa
48,Estágio Supervisionado,1974-08-21,Obrigatoria,12,240,ativa
49,Análise de Algoritmos,1974-08-21,Obrigatoria,4,80,ativa
50,Linguagem de Programação I – Cobol,1974-08-21,Obrigatoria,4,80,ativa
51,Linguagem de Programação II – Visual Basic,1974-08-21,Obrigatoria,4,80,ativa
52,Linguagem de Programação III – Java,1974-08-21,Obrigatoria,4,80,ativa
53,Linguagem de Programação IV – Internet,1974-08-21,Obrigatoria,4,80,ativa
54,Linguagem de Programação V – Delphi,1974-08-21,Obrigatoria,4,80,ativa
55,Linguagem de Programação VI – Java Avançado,1974-08-21,Obrigatoria,4,80,ativa
56,Linguagem de Programação VII – Delphi Avançado,1974-08-21,Obrigatoria,4,80,ativa
57,Linguagem de Programação VIII – VB. NET e ASP,1974-08-21,Obrigatoria,4,80,ativa
58,Métodos Quantitativos e Aplicações,1974-08-21,Obrigatoria,4,80,ativa
59,Microinformática Aplicada,1974-08-21,Obrigatoria,4,80,ativa
60,Programação Avançada Orientada a Objetos,1974-08-21,Obrigatoria,4,80,ativa
61,Programação de Scripts,1974-08-21,Obrigatoria,4,80,ativa
62,Programação para Automação Industrial ,1974-08-21,Obrigatoria,4,80,ativa
63,Programação em Lógica,1974-08-21,Obrigatoria,4,80,ativa
64,Programação para Bancos de Dados,1974-08-21,Obrigatoria,4,80,ativa
65,Programação para Dispositivos Móveis,1974-08-21,Obrigatoria,4,80,ativa
66,Programação para Mainframe,1974-08-21,Obrigatoria,4,80,ativa
67,Programação WEB,1974-08-21,Obrigatoria,4,80,ativa
68,Semiótica Aplicada a Sistemas de Informação,1974-08-21,Obrigatoria,4,80,ativa
69,Software Livre,1974-08-21,Obrigatoria,4,80,ativa
70,Testes de Software,1974-08-21,Obrigatoria,4,80,ativa
71,Tecnologia em Secretariado I,1991-09-30,Obrigatoria,4,80,ativa
72,Língua Inglesa I,1991-09-30,Obrigatoria,4,80,ativa
73,Espanhol I,1991-09-30,Obrigatoria,4,80,ativa
74,Língua Portuguesa I,1991-09-30,Obrigatoria,4,80,ativa
75,Informática I,1991-09-30,Obrigatoria,4,80,ativa
76,Fundamentos da Administração,1991-09-30,Obrigatoria,4,80,ativa
77,Fundamentos da Internacionalização,1991-09-30,Obrigatoria,4,80,ativa
78,Tecnologia em Secretariado II,1991-09-30,Obrigatoria,4,80,ativa
79,Língua Inglesa II,1991-09-30,Obrigatoria,4,80,ativa
80,Espanhol II,1991-09-30,Obrigatoria,4,80,ativa
81,Língua Portuguesa II,1991-09-30,Obrigatoria,4,80,ativa
82,Informática II,1991-09-30,Obrigatoria,4,80,ativa
83,Economia,1991-09-30,Obrigatoria,4,80,ativa
84,Tecnologia em Secretariado III,1991-09-30,Obrigatoria,4,80,ativa
85,Língua Inglesa III,1991-09-30,Obrigatoria,4,80,ativa
86,Espanhol III,1991-09-30,Obrigatoria,4,80,ativa
87,Língua Portuguesa III,1991-09-30,Obrigatoria,4,80,ativa
88,Análise de Sistemas de Automação de Escritórios I,1991-09-30,Obrigatoria,4,80,ativa
89,Tecnologia em Secretariado IV,1991-09-30,Obrigatoria,4,80,ativa
90,Língua Inglesa IV,1991-09-30,Obrigatoria,4,80,ativa
91,Análise de Sistemas de Automação de Escritórios II,1991-09-30,Obrigatoria,4,80,ativa
92,Processos Gerenciais,1991-09-30,Obrigatoria,4,80,ativa
93,Lógica Aplicada a Gestão,1991-09-30,Obrigatoria,4,80,ativa
94,Noções de Estatística,1991-09-30,Obrigatoria,4,80,ativa
95,Alemão I,1991-09-30,Obrigatoria,4,80,ativa
96,Francês I,1991-09-30,Obrigatoria,4,80,ativa
97,Gestão de Pessoas,1991-09-30,Obrigatoria,4,80,ativa
98,Empreendedorismo,1991-09-30,Obrigatoria,4,80,ativa
99,Fundamentos da Matemática Financeira,1991-09-30,Obrigatoria,4,80,ativa
100,Metodologia da pesquisa,1991-09-30,Obrigatoria,4,80,ativa
101,Alemão II,1991-09-30,Obrigatoria,4,80,ativa
102,Francês II,1991-09-30,Obrigatoria,4,80,ativa
103,Gestão Financeira,1991-09-30,Obrigatoria,4,80,ativa
104,Tópicos Avançados em Gestão Internacional,1991-09-30,Obrigatoria,4,80,ativa
105,Gestão de Marketing,1991-09-30,Obrigatoria,4,80,ativa
106,Alemão III,1991-09-30,Obrigatoria,4,80,ativa
107,Francês III,1991-09-30,Obrigatoria,4,80,ativa
108,Marketing Internacional,1991-09-30,Obrigatoria,4,80,ativa
109,Tópicos Contemporâneos da Gestão Secretarial,1991-09-30,Obrigatoria,4,80,ativa
110,Sociologia do Mundo Contemporâneo,1991-09-30,Obrigatoria,4,80,ativa
111,Direito,1991-09-30,Obrigatoria,4,80,ativa
112,Métodos de Cálculo I,1973-04-10,Obrigatoria,6,120,ativa
113,Desenho Técnico de Construção Civil,1973-04-10,Obrigatoria,2,40,ativa
114,Física Aplicada I,1973-04-10,Obrigatoria,5,100,ativa
115,Humanidades,1973-04-10,Obrigatoria,4,80,ativa
116,Português,1973-04-10,Obrigatoria,3,60,ativa
117,Desenho de Construção Civil Assistido por Computador,1973-04-10,Obrigatoria,3,60,ativa
118,Construções Civis – Implantação da Obra,1973-04-10,Obrigatoria,2,40,ativa
119,Métodos de Cálculo II,1973-04-10,Obrigatoria,6,120,ativa
120,Física Aplicada II,1973-04-10,Obrigatoria,5,100,ativa
121,Relações Humanas e Direito Trabalhista,1973-04-10,Obrigatoria,2,40,ativa
122,Materiais para Construção Civil I,1973-04-10,Obrigatoria,4,80,ativa
123,Desenho de Construção Civil para Aprovação,1973-04-10,Obrigatoria,3,60,ativa
124,Construções Civis – Solos,1973-04-10,Obrigatoria,3,60,ativa
125,Construções Civis - Segurança do Trabalho na ,1973-04-10,Obrigatoria,2,40,ativa
Construção Civil,10/04/1973,Obrigatoria,2,40,ativa,ativa
126,Desenho de Construção Civil para Execução,1973-04-10,Obrigatoria,3,60,ativa
127,Estatística,1973-04-10,Obrigatoria,2,40,ativa
128,Materiais para Construção Civil II,1973-04-10,Obrigatoria,5,100,ativa
129,Estática e Resistência dos Materiais I,1973-04-10,Obrigatoria,4,80,ativa
130,Eletricidade Aplicada I,1973-04-10,Obrigatoria,3,60,ativa
131,Topografia,1973-04-10,Obrigatoria,3,60,ativa
132,Práticas Construtivas – Fundações e Acessos,1973-04-10,Obrigatoria,5,100,ativa
133,Legislação e Contratos na Construção Civil,1973-04-10,Obrigatoria,2,40,ativa
134,Eletricidade Aplicada II,1973-04-10,Obrigatoria,5,100,ativa
135,Desenho de Construção Civil em Maquete Eletrônica,1973-04-10,Obrigatoria,2,40,ativa
136,Estruturas I,1973-04-10,Obrigatoria,4,80,ativa
137,Materiais para Construção Civil III,1973-04-10,Obrigatoria,3,60,ativa
138,Estática e Resistência dos Materiais II,1973-04-10,Obrigatoria,4,80,ativa
139,Práticas Construtivas – Execução de Estruturas,1973-04-10,Obrigatoria,4,80,ativa
140,Práticas Construtivas – Alvenarias,1973-04-10,Obrigatoria,4,80,ativa
141,Instalações Prediais Hidráulica,1973-04-10,Obrigatoria,3,60,ativa
142,Instalações Prediais Elétrica,1973-04-10,Obrigatoria,3,60,ativa
143,Estruturas II,1973-04-10,Obrigatoria,3,60,ativa
144,Planejamento da Construção Civil I,1973-04-10,Obrigatoria,5,100,ativa
145,Economia e Finanças em Projetos I,1973-04-10,Obrigatoria,2,40,ativa
146,Práticas Construtivas - Acabamentos ,1973-04-10,Obrigatoria,4,80,ativa
147,Disciplina Optativa,1973-04-10,Optativa,2,40,ativa
148,Estruturas III,1973-04-10,Obrigatoria,3,60,ativa
149,Instalações Prediais - Especiais,1973-04-10,Obrigatoria,3,60,ativa
150,Planejamento da Construção Civil II,1973-04-10,Obrigatoria,4,80,ativa
151,Economia e Finanças em Projetos II,1973-04-10,Obrigatoria,2,40,ativa
152,Práticas Construtivas – Lesões em Edificações,1973-04-10,Obrigatoria,3,60,ativa
153,Orçamento em Construção Civil,1973-04-10,Obrigatoria,4,80,ativa
154,OPTATIVA,1973-04-10,Optativa,,,ativa
155,Química dos Materiais para Construção Civil,1973-04-10,Obrigatoria,2,40,ativa
156,Sustentabilidade na Construção de Edifícios,1973-04-10,Obrigatoria,2,40,ativa
157,Metodologia da Pesquisa Tecnológica,1973-04-10,Obrigatoria,2,40,ativa
158,Gestão de Obras,1973-04-10,Obrigatoria,2,40,ativa
159,Estabilidade das Construções,1973-04-10,Obrigatoria,2,40,ativa
160,- Cálculo Diferencial e Integral I,1991-01-01,Obrigatoria,4,80,ativa
161,- Estatística I,1991-01-01,Obrigatoria,2,40,ativa
162,- Física Mecânica,1991-01-01,Obrigatoria,6,120,ativa
163,- Programação de Computadores,1991-01-01,Obrigatoria,6,120,ativa
164,- Química Tecnológica,1991-01-01,Obrigatoria,4,80,ativa
165,- Redação Técnica,1991-01-01,Obrigatoria,4,80,ativa
166,- CAD Elétrico,1991-01-01,Obrigatoria,2,40,ativa
167,- Cálculo Diferencial e Integral II,1991-01-01,Obrigatoria,4,80,ativa
168,- Cálculo Numérico,1991-01-01,Obrigatoria,2,40,ativa
169,- Circuitos Elétricos,1991-01-01,Obrigatoria,6,120,ativa
170,- Estatística II,1991-01-01,Obrigatoria,2,40,ativa
171,- Física Eletromagnética,1991-01-01,Obrigatoria,6,120,ativa
172,- Materiais Elétricos,1991-01-01,Obrigatoria,4,80,ativa
173,- Cálculo Diferencial e Integral III,1991-01-01,Obrigatoria,4,80,ativa
174,"- Controle de Qualidade, Confiabilidade e Análise de Falhas",1991-01-01,Obrigatoria,4,80,ativa
175,- Sistemas Digitais I,1991-01-01,Obrigatoria,6,120,ativa
176,- Dispositivos Semicondutores,1991-01-01,Obrigatoria,6,120,ativa
177,- Empreendedorismo,1991-01-01,Obrigatoria,2,40,ativa
178,- Processos em Semicondutores,1991-01-01,Obrigatoria,2,40,ativa
179,- Tecnologia e Meio Ambiente,1991-01-01,Obrigatoria,2,40,ativa
180,- Sistemas Digitais II,1991-01-01,Obrigatoria,4,80,ativa
181,- Eletrônica I,1991-01-01,Obrigatoria,6,120,ativa
182,- Instrumentação Eletrônica e Sensores,1991-01-01,Obrigatoria,4,80,ativa
183,- Microcontroladores I,1991-01-01,Obrigatoria,6,120,ativa
184,- Processos de Fabricação de Componentes Eletrônicos,1991-01-01,Obrigatoria,4,80,ativa
185,- Telecomunicação I,1991-01-01,Obrigatoria,2,40,ativa
186,- Controle,1991-01-01,Obrigatoria,2,40,ativa
187,- Eletrônica II,1991-01-01,Obrigatoria,6,120,ativa
188,- Microcontroladores II,1991-01-01,Obrigatoria,4,80,ativa
189,- Metodologia de Pesquisa Científica e Tecnológica,1991-01-01,Obrigatoria,2,40,ativa
190,- Optativa I,1991-01-01,Optativa,2,40,ativa
191,- Optativa II,1991-01-01,Optativa,2,40,ativa
192,- Telecomunicação II,1991-01-01,Obrigatoria,2,40,ativa
193,- Eletrônica Aplicada,1991-01-01,Obrigatoria,4,80,ativa
194,- Eletrônica de Potência,1991-01-01,Obrigatoria,4,80,ativa
195,- Montagem Eletrônica,1991-01-01,Obrigatoria,4,80,ativa
196,- Optativa III,1991-01-01,Optativa,2,40,ativa
197,- Optativa IV,1991-01-01,Optativa,2,40,ativa
198,- Projeto de Circuito Integrado,1991-01-01,Obrigatoria,4,80,ativa
199,- Arquitetura de Redes,1991-01-01,Obrigatoria,2,40,ativa
200,- Direito Ambiental e Sustentabilidade,1991-01-01,Obrigatoria,2,40,ativa
201,- Dinâmica de Negócios da Indústria Manufatureira,1991-01-01,Obrigatoria,2,40,ativa
202,- Estruturas de Dados,1991-01-01,Obrigatoria,4,80,ativa
203,- Extração de Parâmetros de Componentes,1991-01-01,Obrigatoria,2,40,ativa
204,- Fabricação de Componentes Passivos,1991-01-01,Obrigatoria,2,40,ativa
205,- Fabricação de Placas de Circuito Impresso,1991-01-01,Obrigatoria,4,80,ativa
206,- Gestão da Manufatura,1991-01-01,Obrigatoria,2,40,ativa
207,- Humanidades,1991-01-01,Obrigatoria,2,40,ativa
208,- Inglês Técnico,1991-01-01,Obrigatoria,2,40,ativa
209,- Máquinas Elétricas,1991-01-01,Obrigatoria,2,40,ativa
210,- Materiais Cerâmicos e Poliméricos,1991-01-01,Obrigatoria,2,40,ativa
211,- Organização e Métodos da Produção,1991-01-01,Obrigatoria,2,40,ativa
212,- Projeto e Controle Estatístico,1991-01-01,Obrigatoria,2,40,ativa
213,- Planejamento e Controle da Produção,1991-01-01,Obrigatoria,2,40,ativa
214,Turismo na Contemporaneidade,2008-01-01,Obrigatoria,4,80,ativa
215,Tópicos em História Contemporânea,2008-01-01,Obrigatoria,4,80,ativa
216,Economia Aplicada ao Turismo,2008-01-01,Obrigatoria,2,40,ativa
217,Geografia Aplicada ao Turismo,2008-01-01,Obrigatoria,4,80,ativa
218,Fundamentos da Hospitalidade,2008-01-01,Obrigatoria,2,40,ativa
219,Comunicação e Expressão I,2008-01-01,Obrigatoria,2,40,ativa
220,Inglês I,2008-01-01,Obrigatoria,2,40,ativa
221,Espanhol I,2008-01-01,Obrigatoria,2,40,ativa
222,Projeto Integrador I ,2008-01-01,Obrigatoria,2,40,ativa
223,Operação e Agenciamento de Viagens,2008-01-01,Obrigatoria,4,80,ativa
224,Patrimônio Cultural e Turismo,2008-01-01,Obrigatoria,4,80,ativa
225,Comunicação e Expressão II,2008-01-01,Obrigatoria,2,40,ativa
226,Sociologia do Lazer e do Turismo,2008-01-01,Obrigatoria,4,80,ativa
227,"Marketing, Promoção e Comercialização do Destino Turístico",2008-01-01,Obrigatoria,4,80,ativa
228,Inglês II,2008-01-01,Obrigatoria,2,40,ativa
229,Espanhol II ,2008-01-01,Obrigatoria,2,40,ativa
230,Projeto Integrador II ,2008-01-01,Obrigatoria,2,40,ativa
231,Relações Internacionais no Turismo,2008-01-01,Obrigatoria,4,80,ativa
232,Administração,2008-01-01,Obrigatoria,2,40,ativa
233,Meios de Hospedagem,2008-01-01,Obrigatoria,4,80,ativa
234,Meio Ambiente e Sustentabilidade para o Turismo,2008-01-01,Obrigatoria,4,80,ativa
235,Transportes no Turismo,2008-01-01,Obrigatoria,2,40,ativa
236,Comunicação e Expressão III,2008-01-01,Obrigatoria,2,40,ativa
237,Inglês III ,2008-01-01,Obrigatoria,2,40,ativa
238,Espanhol III ,2008-01-01,Obrigatoria,2,40,ativa
239,Projeto Integrador III,2008-01-01,Obrigatoria,2,40,ativa
240,Gestão de Eventos,2008-01-01,Obrigatoria,4,80,ativa
241,Gastronomia e Turismo,2008-01-01,Obrigatoria,4,80,ativa
242,Tecnologia da Informação e da Comunicação,2008-01-01,Obrigatoria,2,40,ativa
243,Comunicação Multimodalidade em Turismo,2008-01-01,Obrigatoria,2,40,ativa
244,"Estatística, Métricas e Indicadores de Turismo",2008-01-01,Obrigatoria,2,40,ativa
245,Gestão de Pessoas em Empresas de Turismo,2008-01-01,Obrigatoria,2,40,ativa
246,Comunicação e Expressão IV,2008-01-01,Obrigatoria,2,40,ativa
247,Inglês IV ,2008-01-01,Obrigatoria,2,40,ativa
248,Espanhol IV,2008-01-01,Obrigatoria,2,40,ativa
249,Projeto Integrador IV ,2008-01-01,Obrigatoria,2,40,ativa
250,Políticas Públicas para o Turismo,2008-01-01,Obrigatoria,2,40,ativa
251,Estudo de Viabilidade Econômica Aplicado a Empresas de Turismo,2008-01-01,Obrigatoria,4,80,ativa
252,"Sociedade, Espaço e Turismo",2008-01-01,Obrigatoria,2,40,ativa
253,Gestão de Empresas Turísticas,2008-01-01,Obrigatoria,2,40,ativa
254,Segurança e Acessibilidade na Atividade Turística,2008-01-01,Obrigatoria,2,40,ativa
255,Métodos para Produção de Conhecimento,2008-01-01,Obrigatoria,2,40,ativa
256,"Planejamento, Regionalidade e Competitividade do Destino Turístico ",2008-01-01,Obrigatoria,4,80,ativa
257,Inglês V ,2008-01-01,Obrigatoria,2,40,ativa
258,Espanhol V,2008-01-01,Obrigatoria,2,40,ativa
259,Projeto Integrador V,2008-01-01,Obrigatoria,2,40,ativa
260,Legislação Aplicada ao Turismo,2008-01-01,Obrigatoria,2,40,ativa
261,Captação de Recursos para Projetos Turísticos,2008-01-01,Obrigatoria,4,80,ativa
262,Desenvolvimento de Negócios,2008-01-01,Obrigatoria,4,80,ativa
263,Optativa ,2008-01-01,Optativa,4,80,ativa
264,Relações Interpessoais,2008-01-01,Obrigatoria,2,40,ativa
265,Análise de Risco e Administração de Crises em Turismo,2008-01-01,Obrigatoria,2,40,ativa
266,Inglês VI,2008-01-01,Obrigatoria,2,40,ativa
267,Espanhol VI,2008-01-01,Obrigatoria,2,40,ativa
268,Projeto Integrador VI ,2008-01-01,Obrigatoria,2,40,ativa
269,Francês,2008-01-01,Obrigatoria,4,80,ativa
270,Alemão,2008-01-01,Obrigatoria,4,80,ativa
271,- Cálculo ,2012-09-17,Obrigatoria,4,80,ativa
272,- Desenho Técnico,2012-09-17,Obrigatoria,3,60,ativa
273,- Eletricidade Aplicada,2012-09-17,Obrigatoria,4,80,ativa
274,- Física,2012-09-17,Obrigatoria,4,80,ativa
275,- Introdução à Hidráulica e ao Saneamento Ambiental,2012-09-17,Obrigatoria,2,40,ativa
276,- Ciências do Ambiente,2012-09-17,Obrigatoria,2,40,ativa
277,- Geometria Analítica,2012-09-17,Obrigatoria,4,80,ativa
278,- Hidráulica I,2012-09-17,Obrigatoria,4,80,ativa
279,- Materiais de Construção Civil I,2012-09-17,Obrigatoria,3,60,ativa
280,- Topografia ,2012-09-17,Obrigatoria,4,80,ativa
281,- Biologia Sanitária,2012-09-17,Obrigatoria,2,40,ativa
282,- Estatística,2012-09-17,Obrigatoria,2,40,ativa
283,- Hidráulica II,2012-09-17,Obrigatoria,4,80,ativa
284,- Humanidades,2012-09-17,Obrigatoria,2,40,ativa
285,- Materiais de Construção Civil II,2012-09-17,Obrigatoria,3,60,ativa
286,- Mecânica dos Solos,2012-09-17,Obrigatoria,2,40,ativa
287,- Movimento de Terra,2012-09-17,Obrigatoria,3,60,ativa
288,- Cálculo Informatizado,2012-09-17,Obrigatoria,2,40,ativa
289,- Direito Ambiental e do Trabalho,2012-09-17,Obrigatoria,2,40,ativa
290,- Hidráulica III,2012-09-17,Obrigatoria,2,40,ativa
291,- Laboratório de Hidráulica,2012-09-17,Obrigatoria,2,40,ativa
292,- Materiais para Tubulação,2012-09-17,Obrigatoria,3,60,ativa
293,- Obras de Terra,2012-09-17,Obrigatoria,2,40,ativa
294,- Química Sanitária e Ambiental,2012-09-17,Obrigatoria,2,40,ativa
295,- Resistência dos Materiais,2012-09-17,Obrigatoria,4,80,ativa
296,- Comunicação em Língua Portuguesa,2012-09-17,Obrigatoria,4,80,ativa
297,- Desenho Assistido por Computador,2012-09-17,Obrigatoria,3,60,ativa
298,- Estruturas,2012-09-17,Obrigatoria,3,60,ativa
299,- Hidrologia,2012-09-17,Obrigatoria,4,80,ativa
300,- Máquinas e Equipamentos Hidromecânicos,2012-09-17,Obrigatoria,2,40,ativa
301,- Relações Interpessoais,2012-09-17,Obrigatoria,2,40,ativa
302,- Gerenciamento Ambiental,2012-09-17,Obrigatoria,2,40,ativa
303,- Hidrometria,2012-09-17,Obrigatoria,2,40,ativa
304,- Laboratório de Saneamento,2012-09-17,Obrigatoria,4,80,ativa
305,- Operação e Manutenção de Sistemas de Abastecimento de Água,2012-09-17,Obrigatoria,2,40,ativa
306,- Projeto de Sistemas de Abastecimento da Água,2012-09-17,Obrigatoria,8,160,ativa
307,- Resíduos Sólidos,2012-09-17,Obrigatoria,2,40,ativa
308,- Construção e Manutenção de Sistemas de Drenagem,2012-09-17,Obrigatoria,2,40,ativa
309,- Gerenciamento de Obras,2012-09-17,Obrigatoria,2,40,ativa
310,- Metodologia de Pesquisa Científica e Tecnológica I,2012-09-17,Obrigatoria,2,40,ativa
311,- Operação e Manutenção de Sistemas de Esgoto Sanitário,2012-09-17,Obrigatoria,2,40,ativa
312,- Projeto de Sistemas de Drenagem,2012-09-17,Obrigatoria,4,80,ativa
313,- Projeto de Sistemas de Esgoto Sanitário,2012-09-17,Obrigatoria,8,160,ativa
314,- Construção de Redes Subterrâneas,2012-09-17,Obrigatoria,2,40,ativa
315,- Gerenciamento de Recursos Hídricos,2012-09-17,Obrigatoria,2,40,ativa
316,- Metodologia de Pesquisa Científica e Tecnológica II,2012-09-17,Obrigatoria,1,20,ativa
317,- Projeto de Instalações Hidráulicas e Prediais,2012-09-17,Obrigatoria,8,160,ativa
318,- Tratamento de Efluentes Industriais,2012-09-17,Obrigatoria,2,40,ativa
319,Eletrotécnica I,2024-07-01,Obrigatoria,4,80,ativa
320,Humanidades,2024-07-01,Obrigatoria,2,40,ativa
321,Química,2024-07-01,Obrigatoria,4,80,ativa
322,Fundamentos de Eletromagnetismo,2024-07-01,Obrigatoria,2,40,ativa
323,Física I,2024-07-01,Obrigatoria,4,80,ativa
324,Comunicação e Expressão,2024-07-01,Obrigatoria,4,80,ativa
325,Cálculo I,2024-07-01,Obrigatoria,4,80,ativa
326,Eletrotécnica II,2024-07-01,Obrigatoria,6,120,ativa
327,Materiais Elétricos,2024-07-01,Obrigatoria,2,40,ativa
328,Desenho Técnico,2024-07-01,Obrigatoria,4,80,ativa
329,Fundamentos de Resistência dos Materiais,2024-07-01,Obrigatoria,2,40,ativa
330,Física II,2024-07-01,Obrigatoria,4,80,ativa
331,Cálculo II,2024-07-01,Obrigatoria,4,80,ativa
332,Fundamentos de Cálculo Numérico,2024-07-01,Obrigatoria,2,40,ativa
333,Circuitos Elétricos,2024-07-01,Obrigatoria,4,80,ativa
334,Medidas Elétricas e Instrumentação Industrial,2024-07-01,Obrigatoria,4,80,ativa
335,Instalações Elétricas I,2024-07-01,Obrigatoria,4,80,ativa
336,Conversão Eletromecânica de Energia,2024-07-01,Obrigatoria,2,40,ativa
337,Eletrônica,2024-07-01,Obrigatoria,6,120,ativa
338,Cálculo III,2024-07-01,Obrigatoria,4,80,ativa
339,Estatística Descritiva,2024-07-01,Obrigatoria,2,40,ativa
340,Circuitos Digitais,2024-07-01,Obrigatoria,4,80,ativa
341,Máquinas Elétricas,2024-07-01,Obrigatoria,4,80,ativa
342,Instalações Elétricas II,2024-07-01,Obrigatoria,4,80,ativa
343,Sistemas Elétricos de Potência,2024-07-01,Obrigatoria,4,80,ativa
344,Fundamentos de Administração Geral,2024-07-01,Obrigatoria,2,40,ativa
345,Segurança no Trabalho,2024-07-01,Obrigatoria,2,40,ativa
346,Sustentabilidade,2024-07-01,Obrigatoria,2,40,ativa
347,Fundamentos de Termodinâmica,2024-07-01,Obrigatoria,2,40,ativa
348,Sistemas de Proteção I,2024-07-01,Obrigatoria,4,80,ativa
349,"Geração, Transmissão e Distribuição de Energia Elétrica I",2024-07-01,Obrigatoria,4,80,ativa
350,Cabeamento Estruturado e Telefonia,2024-07-01,Obrigatoria,4,80,ativa
351,Luminotécnica,2024-07-01,Obrigatoria,4,80,ativa
352,Fundamentos de Organização Industrial,2024-07-01,Obrigatoria,2,40,ativa
353,Fundamentos da Economia,2024-07-01,Obrigatoria,2,40,ativa
354,Gestão de projetos,2024-07-01,Obrigatoria,2,40,ativa
355,Legislações e Normas,2024-07-01,Obrigatoria,2,40,ativa
356,Sistemas de Proteção II,2024-07-01,Obrigatoria,4,80,ativa
357,"Geração, Transmissão e Distribuição de Energia Elétrica II",2024-07-01,Obrigatoria,4,80,ativa
358,Sistemas de Automação e Controle,2024-07-01,Obrigatoria,4,80,ativa
359,Instalações Elétricas Inteligentes,2024-07-01,Obrigatoria,4,80,ativa
360,Optativa I,2024-07-01,Optativa,2,40,ativa
361,Optativa II,2024-07-01,Optativa,2,40,ativa
362,Gestão da Qualidade,2024-07-01,Obrigatoria,2,40,ativa
363,Custos e Orçamentos,2024-07-01,Obrigatoria,2,40,ativa
364,Gestão de Manutenção,2024-07-01,Obrigatoria,2,40,ativa
365,Sistemas de Proteção Contra Descargas Atmosféricas,2024-07-01,Obrigatoria,2,40,ativa
366,Instalações Hospitalares,2024-07-01,Obrigatoria,2,40,ativa
